id,company_id,account_group_id,parent_id,account_code,account_name,account_level,is_leaf,allow_transactions,status,created_at,updated_at,deleted_at
1,1,1,,1001-1,الصندوق,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
2,1,1,,1002-1,البنك,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
3,1,1,,1003-1,الذمم المدينة,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
4,1,1,,1004-1,المخزون,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
5,1,2,,2001-1,الذمم الدائنة,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
6,1,2,,2002-1,ضريبة القيمة المضافة,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
7,1,2,,3001-1,رأس المال,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
8,1,4,,4001-1,إيرادات المبيعات,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
9,1,4,,4002-1,مرتجعات المبيعات,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
10,1,5,,5001-1,تكلفة المبيعات,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
11,1,5,,5002-1,الرواتب,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
12,1,5,,5003-1,الإيجار,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
13,1,5,,5004-1,المرافق,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
14,2,6,,1001-2,الصندوق,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
15,2,6,,1002-2,البنك,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
16,2,6,,1003-2,الذمم المدينة,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
17,2,6,,1004-2,المخزون,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
18,2,7,,2001-2,الذمم الدائنة,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
19,2,7,,2002-2,ضريبة القيمة المضافة,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
20,2,7,,3001-2,رأس المال,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
21,2,9,,4001-2,إيرادات المبيعات,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
22,2,9,,4002-2,مرتجعات المبيعات,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
23,2,10,,5001-2,تكلفة المبيعات,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
24,2,10,,5002-2,الرواتب,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
25,2,10,,5003-2,الإيجار,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
26,2,10,,5004-2,المرافق,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
27,3,11,,1001-3,الصندوق,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
28,3,11,,1002-3,البنك,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
29,3,11,,1003-3,الذمم المدينة,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
30,3,11,,1004-3,المخزون,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
31,3,12,,2001-3,الذمم الدائنة,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
32,3,12,,2002-3,ضريبة القيمة المضافة,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
33,3,12,,3001-3,رأس المال,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
34,3,14,,4001-3,إيرادات المبيعات,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
35,3,14,,4002-3,مرتجعات المبيعات,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
36,3,15,,5001-3,تكلفة المبيعات,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
37,3,15,,5002-3,الرواتب,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
38,3,15,,5003-3,الإيجار,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
39,3,15,,5004-3,المرافق,1,1,1,active,2026-06-16 05:12:39,2026-06-16 05:12:39,
